Timestamp,Age Group,Gender,Preferred Tool,Satisfaction (1-5),Feedback,Date,Feedback Length
2024-04-29 07:16:00,18-24,Other,Python,2,Great tool very useful,2024-04-29,22
2024-05-12 11:45:00,18-24,Other,Power Bi,3,Could be faster,2024-05-12,15
2024-05-07 15:26:00,25-34,Female,Excel,3,Great tool very useful,2024-05-07,22
2024-05-02 03:59:00,18-24,Male,Excel,3,Helpful for beginners,2024-05-02,21
2024-04-19 23:32:00,35-44,Female,Python,1,Great tool very useful,2024-04-19,22
2024-04-28 10:12:00,18-24,Other,R,5,Great tool very useful,2024-04-28,22
2024-04-16 04:26:00,45+,Other,R,4,Great tool very useful,2024-04-16,22
2024-04-29 17:06:00,35-44,Female,Python,4,Very intuitive dashboard,2024-04-29,24
2024-04-02 22:14:00,45+,Male,Python,2,Great tool very useful,2024-04-02,22
2024-04-21 05:20:00,35-44,Male,Tableau,3,Very helpful for analysis,2024-04-21,25
2024-05-01 21:49:00,18-24,Other,R,2,Very intuitive dashboard,2024-05-01,24
2024-05-08 23:29:00,45+,Female,Python,2,Very intuitive dashboard,2024-05-08,24
2024-04-21 17:37:00,45+,Male,R,1,Could be faster,2024-04-21,15
2024-04-04 14:09:00,18-24,Other,R,4,Needs improvement,2024-04-04,17
2024-04-20 17:19:00,25-34,Female,Power Bi,1,Amazing analytics,2024-04-20,17
2024-04-12 14:04:00,35-44,Other,Power Bi,2,Interface is good,2024-04-12,17
2024-05-11 03:46:00,25-34,Male,Tableau,4,Makes analysis simple,2024-05-11,21
2024-05-06 03:29:00,25-34,Male,Tableau,4,Very easy to use,2024-05-06,16
2024-05-02 05:52:00,45+,Male,Python,4,Amazing analytics,2024-05-02,17
2024-04-05 19:22:00,18-24,Male,R,4,Very easy to use,2024-04-05,16
2024-04-08 18:15:00,35-44,Other,Excel,5,Needs improvement,2024-04-08,17
2024-04-10 05:13:00,35-44,Female,Power Bi,4,Makes analysis simple,2024-04-10,21
2024-05-09 18:28:00,35-44,Male,R,5,Could add more charts,2024-05-09,21
2024-04-28 21:55:00,25-34,Other,Python,2,Great tool very useful,2024-04-28,22
2024-04-11 13:56:00,25-34,Male,Tableau,2,Good but needs more features,2024-04-11,28
2024-05-12 02:19:00,25-34,Female,Excel,1,Excellent experience,2024-05-12,20
2024-05-07 01:24:00,45+,Female,Tableau,3,Helpful for beginners,2024-05-07,21
2024-05-03 12:18:00,35-44,Female,Python,4,Could be faster,2024-05-03,15
2024-05-02 02:21:00,45+,Other,Excel,4,Amazing analytics,2024-05-02,17
2024-05-02 07:04:00,25-34,Other,Excel,4,Amazing analytics,2024-05-02,17
2024-05-10 05:33:00,35-44,Female,Power Bi,2,Interface is good,2024-05-10,17
2024-04-06 04:01:00,18-24,Male,Tableau,4,Good but needs more features,2024-04-06,28
2024-05-10 04:56:00,25-34,Female,Power Bi,1,Could add more charts,2024-05-10,21
2024-05-08 03:02:00,45+,Female,Tableau,1,Makes analysis simple,2024-05-08,21
2024-05-12 20:34:00,35-44,Male,Python,4,Very helpful for analysis,2024-05-12,25
2024-04-17 22:50:00,18-24,Male,Power Bi,5,Helpful for beginners,2024-04-17,21
2024-05-06 13:19:00,25-34,Male,Tableau,2,Interface is good,2024-05-06,17
2024-04-04 20:29:00,25-34,Female,Python,5,Very intuitive dashboard,2024-04-04,24
2024-04-29 14:42:00,18-24,Other,Tableau,2,Very easy to use,2024-04-29,16
2024-04-21 16:28:00,25-34,Male,Power Bi,5,Loved the visualization,2024-04-21,23
2024-05-06 21:36:00,18-24,Male,Power Bi,3,Very helpful for analysis,2024-05-06,25
2024-04-19 12:19:00,35-44,Male,R,4,Makes analysis simple,2024-04-19,21
2024-05-07 22:01:00,25-34,Female,Power Bi,1,Very intuitive dashboard,2024-05-07,24
2024-04-07 00:08:00,35-44,Other,Excel,3,Excellent experience,2024-04-07,20
2024-04-09 21:05:00,35-44,Female,Excel,4,Helpful for beginners,2024-04-09,21
2024-04-17 16:43:00,45+,Male,Excel,4,Great tool very useful,2024-04-17,22
2024-04-05 13:39:00,35-44,Other,R,1,Amazing analytics,2024-04-05,17
2024-05-11 01:05:00,18-24,Other,Python,1,Very helpful for analysis,2024-05-11,25
2024-05-10 23:40:00,35-44,Other,Tableau,2,Very intuitive dashboard,2024-05-10,24
2024-04-21 17:06:00,25-34,Other,R,5,Could add more charts,2024-04-21,21
2024-04-15 11:52:00,25-34,Male,Tableau,1,Helpful for beginners,2024-04-15,21
2024-04-14 14:46:00,35-44,Female,Python,4,Good but needs more features,2024-04-14,28
2024-04-23 11:45:00,45+,Other,Python,5,Good but needs more features,2024-04-23,28
2024-05-03 19:57:00,45+,Female,Power Bi,3,Fast and reliable,2024-05-03,17
2024-04-29 07:02:00,35-44,Male,Power Bi,5,Could be faster,2024-04-29,15
2024-05-01 14:32:00,45+,Male,R,4,Makes analysis simple,2024-05-01,21
2024-04-08 20:17:00,25-34,Other,R,3,Very easy to use,2024-04-08,16
2024-04-20 20:31:00,45+,Female,Python,2,Interface is good,2024-04-20,17
2024-05-12 02:54:00,18-24,Other,Excel,3,Fast and reliable,2024-05-12,17
2024-05-11 10:07:00,45+,Female,R,4,Fast and reliable,2024-05-11,17
2024-05-10 10:08:00,25-34,Other,Python,4,Helpful for beginners,2024-05-10,21
2024-04-06 02:57:00,45+,Female,Excel,1,Very helpful for analysis,2024-04-06,25
2024-04-07 14:21:00,25-34,Other,Python,2,Could be faster,2024-04-07,15
2024-04-06 10:14:00,45+,Other,Tableau,1,Could add more charts,2024-04-06,21
2024-04-09 00:18:00,25-34,Female,R,3,Fast and reliable,2024-04-09,17
2024-05-10 06:07:00,25-34,Female,Python,3,Fast and reliable,2024-05-10,17
2024-05-07 13:54:00,18-24,Female,R,5,Could add more charts,2024-05-07,21
2024-04-26 00:18:00,45+,Male,Tableau,1,Good but needs more features,2024-04-26,28
2024-04-08 17:52:00,18-24,Other,Power Bi,5,Makes analysis simple,2024-04-08,21
2024-05-10 04:53:00,45+,Female,Excel,3,Very helpful for analysis,2024-05-10,25
2024-05-04 12:11:00,18-24,Female,Python,5,Great tool very useful,2024-05-04,22
2024-05-04 20:28:00,25-34,Male,R,2,Could be faster,2024-05-04,15
2024-04-15 11:09:00,25-34,Female,Power Bi,3,Very easy to use,2024-04-15,16
2024-04-18 00:16:00,18-24,Male,R,1,Good but needs more features,2024-04-18,28
2024-04-08 20:51:00,35-44,Male,R,4,Could add more charts,2024-04-08,21
2024-04-28 22:48:00,18-24,Female,Tableau,4,Great tool very useful,2024-04-28,22
